citing_id,cited_id
8397,653417
8397,1681654
12575,635617
12575,1750663
19300,1050152
19878,12575
19878,494297
19878,635617
19878,687712
19878,1838105
25576,1743548
26511,1063853
26511,1097199
29974,801837
38328,4354
38559,1574616
39828,212098
39828,514162
39828,1029264
49043,117343175
67608,1800386
67973,1252014
68666,334293
82588,286982
84946,1225694
86594,318186
92021,734117
92021,1781027
92499,1450722
93739,1684167
93885,283660
93885,554839
93885,1307370
93885,1857950
94289,1252014
98502,1778243
103959,554839
103959,1411911
108182,1291316
111109,554839
111109,948743
120358,45759
120358,219225
120358,629631
120358,944601
120358,1857950
120358,1890860
120358,40472258
120366,732516
126467,1097199
128161,959860
128161,1629177
130549,1266379
137285,1053167
138849,1962138
140352,1251841
146057,38559
146718,1141020
161666,4354
161666,93885
162253,937486
162306,1723670
165273,283660
172090,1882779
176568,1029264
176568,1425329
184521,514162
184521,1776469
213931,891756
219225,1886356
219659,1660833
220229,1063853
243782,254621
251775,970796
251775,1467661
251861,41868
254621,1430396
254621,1778510
257876,41868
257876,45759
257876,93885
257876,334293
257876,554839
257876,629631
257876,761967
257876,973363
257876,1318432
257876,1857950
257876,1890860
257876,40472258
258864,45759
265365,1878796
268805,553711
268805,725224
275180,1825635
278509,204111
278573,649393
281123,84946
281123,1225694
290317,512619
290317,1652290
290317,1681654
290317,1685938
294497,1063853
299215,277312
304499,514162
311809,4354
311809,126467
311809,1097199
313764,976045
337165,535729
338008,147362898
341524,384084
342680,283660
342860,1214175
361353,1786180
368269,568069
368269,1450722
374494,12575
374494,1838105
377699,1154741
377699,1270365
384084,1681654
387276,653417
388201,396336
395346,582508
405713,4354
405713,334293
405713,407809
405713,635142
405713,1063853
405713,1249510
405713,1815080
405713,1949862
405713,184660633
407809,4354
407809,1949862
412082,1857003
413743,1653351
413999,554839
419916,570453
434894,1719283
443222,212098
458233,130549
459058,126467
459058,649393
462743,378583
472343,124022295
476741,908527
481866,1652416
482373,1382411
493792,1157189
493883,1249510
494297,1097199
506242,204111
506242,608874
506242,1371375
510078,1430396
512619,1681654
512761,944601
513801,286982
513801,40472258
526651,1629177
531814,1629177
531814,23158941
544641,1743548
544641,1948248
551145,698518
556135,1683423
557898,476355
560037,1425329
568069,1029264
568069,1450722
574198,608874
574198,1266379
574198,1629177
574198,1848179
581955,1684167
583554,84946
583554,1225694
587965,258864
590817,1719283
593401,148933
593401,258864
593401,1425329
596612,281502
597594,227320
603736,1743548
608874,204111
608874,1266379
609478,239596
609478,568069
611866,384084
621247,554839
621247,568069
621247,1157189
624810,41868
632551,1430396
632551,1652416
634206,212098
634206,667935
634206,725224
634206,1629177
635142,4354
641763,1154741
649192,40121
649393,480602
650753,904979
654172,318186
654172,1778243
660275,12575
660275,45759
660275,440324
660275,834589
660275,1838105
661850,1089401
666784,1857003
667217,33396
668225,283660
668225,514162
673012,506242
673012,981675
673012,1053167
673012,1457646
673012,1660833
673012,1797705
673500,732276
673500,732516
673500,752151
674013,258864
675008,1029264
682520,1450722
687712,440324
695601,948916
696070,567012
698518,970796
698518,1467661
703393,1896039
703393,184660633
722472,481866
722472,1349137
722472,1652416
725224,45759
725224,334293
725224,608874
734117,512619
734117,1681654
734532,948743
736842,1388066
744830,735056
761967,212098
761967,1063853
761967,1683423
766077,41868
767586,574198
775246,41868
775246,629631
779491,294497
779491,1949862
779491,184660633
782709,84946
788939,41868
788939,45759
800514,732516
802307,1606165
811277,944601
826407,1489900
829084,1857950
848120,384084
849571,282004
856631,4354
856631,254621
859804,1653351
859804,1684167
868147,236012
871138,41868
871138,973363
871220,561287
876341,760665
879535,33396
879535,1291316
884513,80596
885224,107472
887029,1237708
891756,40472258
895521,440324
908660,1198151
908660,1996477
910697,227320
911769,653417
911769,937486
924801,974209
935946,136109
937486,653417
940735,294497
941160,107472
944601,1157189
944747,1654408
946004,378583
948679,258864
948743,568069
948743,1157189
948743,1954356
959860,1382411
959860,1857950
963833,911300
963833,1072049
966717,512619
976045,1198151
976045,1486660
981621,94289
981621,1252014
981675,4354
981675,126467
981675,554839
981675,184660633
990570,80596
991863,519726
993328,1205495
994554,561287
998380,481866
1000425,649393
1004292,1105428
1004330,1430396
1004330,1652416
1008190,1633791
1008545,41868
1008545,629631
1010490,1273982
1021079,33396
1031512,130549
1031512,1629177
1036461,735056
1038664,1840988
1042021,1606165
1047349,941160
1047349,1590667
1053167,204111
1060754,1443323
1063853,1949862
1063853,184660633
1071689,290317
1071689,1681654
1071689,1781027
1075328,318186
1092564,41868
1092564,608874
1092564,973363
1097199,4354
1098573,1954356
1100200,535729
1105428,45759
1105428,775246
1120103,1318432
1121664,318186
1121664,1778243
1124131,1599768
1126538,973363
1139389,574198
1156375,1141020
1157189,1857950
1157189,40472258
1158072,1954356
1165849,667935
1166220,107472
1166220,941160
1166417,739122
1166417,1606165
1172174,1492591
1172544,1441920
1187060,12575
1193965,1459730
1198151,162306
1198151,1723670
1199724,1465149
1201493,283660
1214175,561287
1219788,698518
1224706,1450722
1228316,38328
1230877,1606165
1230877,1809195
1260147,1654408
1266374,353083
1266374,1425329
1266379,1072049
1270239,4354
1270365,1154741
1270365,1996477
1271827,37505817
1273177,1053167
1286645,117343175
1291316,1266379
1291316,1683423
1293557,407809
1293557,1949862
1293557,184660633
1294854,1654408
1298255,1481962
1301452,59912
1302865,725224
1302911,732701
1307370,1820633
1328814,1848179
1333014,1743548
1342360,811423
1346544,1450722
1348140,1251107
1348467,1606165
1351469,1585491
1351834,891756
1353689,608874
1353689,1270239
1353689,1857003
1356980,549514
1363325,1813863
1382698,1318432
1394063,227320
1395554,1124131
1396529,911300
1396529,1072049
1398781,94181
1399890,1249510
1404351,608874
1404351,635142
1409534,1838105
1411911,1430396
1411911,1778510
1412888,378583
1412888,946004
1414177,45759
1421227,1684167
1425329,334293
1425329,1266379
1426371,136109
1431488,1425329
1431786,973363
1444315,318186
1444315,1778243
1450722,937486
1457646,204111
1459730,4354
1459730,334293
1459730,1063853
1459730,1249510
1459730,1815080
1459730,1949862
1459730,184660633
1464523,1778510
1474119,41868
1481910,944601
1488034,334293
1488034,1291316
1492054,1224706
1496509,937486
1497318,512619
1506108,570453
1513913,782122
1519712,117343175
1523491,1750208
1524072,816126
1527823,1392212
1543138,1599768
1549889,1787992
1554097,1848179
1558985,283660
1559460,698518
1565982,1251107
1572027,649393
1574616,1870386
1575323,1395554
1586690,506242
1587160,163850
1588871,1611797
1590667,80596
1590667,732516
1590667,1063853
1590667,1249510
1603336,4354
1611623,1739302
1619422,1141020
1628090,282004
1629177,608874
1629177,1266379
1629177,1719283
1629830,204111
1629830,1266379
1634320,811423
1641860,653417
1643138,40472258
1651599,449676
1660833,1105428
1664202,1775824
1679718,318186
1681078,937486
1681365,1543036
1681654,653417
1683423,334293
1684706,1273982
1685938,1681654
1686885,725224
1714305,1270260
1725486,1249510
1733535,834589
1733637,1685938
1735815,41868
1735815,761967
1735815,829084
1735815,834589
1735815,937486
1735815,981675
1735815,1318432
1735815,1743548
1735815,1857950
1735815,1954356
1743548,635617
1750208,204111
1750663,41868
1750663,45759
1750663,629631
1750663,1392212
1752222,611046
1753624,1685938
1763374,384084
1764677,1743548
1766147,891756
1766147,959860
1766147,1157189
1766147,1431786
1766147,1857950
1766147,40472258
1766505,858834
1766505,972395
1769227,93885
1769227,734117
1769227,1800386
1772440,760665
1773971,786541
1776469,653417
1776469,1815080
1778243,318186
1782633,574198
1786669,1870386
1790076,1815080
1790076,1961189
1794534,227646
1799382,130549
1799890,4354
1799890,212098
1799890,608874
1799890,1157189
1800034,801837
1812985,1154741
1813801,309469
1815080,653417
1815215,1443323
1817558,1050152
1824031,33396
1824031,176568
1838105,12575
1839804,948916
1848179,204111
1848179,608874
1848179,1750208
1859206,632551
1864509,462743
1866806,1896039
1867449,739122
1882267,561287
1882779,973363
1882779,1665121
1883187,94181
1888918,1490310
1896039,1430396
1898146,1786180
1901567,1205495
1902100,701899
1906169,77089
1908762,1750663
1915068,1484876
1918767,38328
1919617,1004330
1919617,1652416
1922173,1725486
1937304,1857003
1945293,944601
1946771,153927235
1949862,4354
1949862,184660633
1959928,93885
1959928,1431786
1961189,725224
1963535,148933
1963535,258864
1963913,41868
1963913,871138
1988725,1665121
1991497,251861
1999764,494297
1999764,1684167
4436830,41868
4472721,142239
8752021,1857003
8882900,1498182
9416991,1318432
21266288,41868
21266288,45759
21266288,629631
21266288,1857950
21266288,1890860
21266288,40472258
23158941,1629177
24847628,493883
25681951,1948248
28242033,1558985
36202229,740850
37282232,1864509
40305755,483899
40472258,1382411
40472258,1857950
42885821,1683423
43475503,1157189
43475503,1857950
43475503,40472258
44350057,133024
45852197,811423
48624697,732821
49625991,483899
49625991,535729
49625991,948916
49625991,1302911
49625991,1401884
49625991,1683667
49846809,570453
51545606,1198151
52024378,282004
53558237,440324
55012242,732276
55578845,277312
56768737,180824534
57929191,1960850
58730926,99090701
58889922,38328
60443377,41868
60443377,973363
60477445,117343175
60477445,147362898
63489929,725224
63951797,463456
66021170,752687
66273855,180317
66970168,93885
66970168,494297
66970168,608874
66970168,1166220
67965481,1388066
71451605,1430396
71451605,1652416
71630703,570453
77360882,816126
79183688,908527
82262912,1786180
88188427,1302911
90534076,20909926
90534076,97365940
91938676,981675
91938676,1306519
91938676,1857950
92854857,869781
96039159,94289
96784692,937486
99090701,334293
99090701,608874
100291026,286982
100291026,1431786
100291026,40472258
101217850,1778243
101278772,93885
102230863,1797705
102292018,27731
102329186,732821
107745042,236012
107745042,1423714
107745042,1533893
107745042,1913374
108308826,937486
109582282,126467
109655125,775246
110957682,816126
112850760,1961189
113334597,212098
114748881,476355
115367233,1428157
115367233,1490310
115716872,1306519
116608229,739122
116608229,1543036
127517806,93885
127517806,554839
127517806,1306519
131006151,407809
134553218,1205495
134990086,1825635
138321208,976045
141904436,1409676
141946357,514162
141946357,687712
141946357,1291316
141946357,1432129
141946357,1660833
141946357,1949862
143202244,1306519
144255939,835938
144413017,1318432
147362898,687712
147756011,1798175
152028985,1193928
155215460,1214064
156665259,212098
156665259,1425329
156667327,407050
157067218,1776469
157920088,1205495
160697608,1743548
160697608,1948248
161176425,684788
162887031,1798175
163639357,801837
163639357,1307370
163639357,1430396
165099707,49043
165099707,761967
165099707,829084
165099707,834589
165099707,981675
165099707,1743548
167236031,1050152
168653623,84946
168653623,1225694
168653623,1252014
172903360,203464
173015163,553711
176050109,30489
176690927,673500
179507118,1428157
180754234,1878796
181443842,698518
181623893,462743
181931435,570453
182364833,1601578
184660633,4354
184660633,334293
186705056,286982
189806642,1814791
193340748,811423
194066233,611046
194090444,483899
196164116,835938
